ORCID,DBLP
0000-0001-5005-6123,https://dblp.org/pid/36/2824.html
0000-0001-5006-4262,https://dblp.org/pid/132/2202.html
0000-0001-5008-4319,https://dblp.org/pid/70/2932-10.html
0000-0001-5028-4601,https://dblp.org/pid/15/1876.html
0000-0001-5038-8320,https://dblp.org/pid/90/3981.html
0000-0001-5042-6198,https://dblp.org/pid/117/3736.html
0000-0001-5046-2279,https://dblp.org/pid/04/2166.html
0000-0001-5056-673X,https://dblp.org/pid/199/2920.html
0000-0001-5063-3808,https://dblp.org/pid/139/6900.html
0000-0001-5063-9783,https://dblp.org/pid/71/5460.html
0000-0001-5069-6817,https://dblp.org/pid/199/3119.html
0000-0001-5078-8498,https://dblp.org/pid/35/5016.html
0000-0001-5082-2078,https://dblp.org/pid/97/5147.html
0000-0001-5092-551X,https://dblp.org/pid/65/4982.html
0000-0001-5094-9837,https://dblp.org/pid/131/8910.html
0000-0001-5101-0557,https://dblp.org/pid/78/5374-1.html
0000-0001-5106-7692,https://dblp.org/pid/139/3792.html
0000-0001-5107-7794,https://dblp.org/pid/150/9240.html
0000-0001-5108-3414,https://dblp.org/pid/02/562-10.html
0000-0001-5115-8439,https://dblp.org/pid/99/9066.html
0000-0001-5162-5113,https://dblp.org/pid/68/3746.html
0000-0001-5178-3496,https://dblp.org/pid/118/6231.html
0000-0001-5185-7686,https://dblp.org/pid/50/5312.html
0000-0001-5189-337X,https://dblp.org/pid/c/JohnMCarroll.html
0000-0001-5192-3495,https://dblp.org/pid/239/5082.html
0000-0001-5202-7326,https://dblp.org/pid/31/2396.html
0000-0001-5203-274X,https://dblp.org/pid/78/5047.html
0000-0001-5203-3793,https://dblp.org/pid/217/2834.html
0000-0001-5203-8797,https://dblp.org/pid/37/3890.html
0000-0001-5207-5029,https://dblp.org/pid/217/9412.html
0000-0001-5207-5352,https://dblp.org/pid/172/7281.html
0000-0001-5211-5377,https://dblp.org/pid/329/4482.html
0000-0001-5212-2235,https://dblp.org/pid/128/9277.html
0000-0001-5219-3447,https://dblp.org/pid/94/5249.html
0000-0001-5248-5642,https://dblp.org/pid/51/3366.html
0000-0001-5255-4599,https://dblp.org/pid/24/7929.html
0000-0001-5263-410X,https://dblp.org/pid/301/0483.html
0000-0001-5268-3331,https://dblp.org/pid/34/5062.html
0000-0001-5269-9579,https://dblp.org/pid/238/5024.html
0000-0001-5283-6588,https://dblp.org/pid/r/MarkORiedl.html
0000-0001-5290-6486,https://dblp.org/pid/137/9443.html
0000-0001-5296-5347,https://dblp.org/pid/61/5730.html
0000-0001-5297-1659,https://dblp.org/pid/199/2602.html
0000-0001-5298-6797,https://dblp.org/pid/217/9363.html
0000-0001-5299-8157,https://dblp.org/pid/35/4287.html
0000-0001-5312-3619,https://dblp.org/pid/77/2637.html
0000-0001-5322-6554,https://dblp.org/pid/73/1124.html
